vin;is_owner;is_promo;region;city;brand;model;year;mileage;count_owners;air_condition;color;price;en_capacity;en_type;en_power;num_cylinders;fuel_waste_mix;body_type;modification;num_doors;gearbox_type;wheel_drive;steering_wheel;link;ad_date;avito_id;model_uid
;True;;Владимирская область;Владимир;ВАЗ (LADA);2110;2023;119000;3;False;Золотой;230000;1499;Бензин;79;4.0;7.2;Седан;1.5 MT (78 л.с.);4;Механика;Передний;Левый;https://www.avito.ru/vladimir/avtomobili/vaz_lada_2110_1.5_mt_2002_119000km_3005845976;2023-08-04;3005845976;ZkJE3IM
;True;;Владимирская область;Юрьев-Польский р-н;ВАЗ (LADA);Vesta;2023;90000;2;False;Белый;900000;1596;Бензин;106;4.0;7.5;Седан;1.6 MT (106 л.с.);4;Механика;Передний;Левый;https://www.avito.ru/yurev-polskiy/avtomobili/vaz_lada_vesta_1.6_mt_2017_90000km_2406730382;2023-08-01;2406730382;R4wdjCE
;True;;Владимирская область;Ковров;ВАЗ (LADA);Priora;2023;123125;3;False;Чёрный;280000;1596;Бензин;98;4.0;7.2;Хетчбэк;1.6 MT (98 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/kovrov/avtomobili/vaz_lada_priora_1.6_mt_2009_123125km_3162728828;2023-08-04;3162728828;1boQWip
;True;;Владимирская область;Владимир;ГАЗ;ГАЗель 3302;2023;221670;2;False;Золотой;650000;2460;Бензин;124;4.0;;Фургон;2.5 MT (124 л.с.);2;Механика;Задний;Левый;https://www.avito.ru/vladimir/avtomobili/gaz_gazel_3302_2.5_mt_2008_221670km_3167381555;2023-08-03;3167381555;n4W2VFJ
;True;;Владимирская область;17Н-127;ГАЗ;ГАЗель 2747;2023;1000;3;False;Белый;545000;2781;Дизель;120;;;Фургон;2.8 D MT (120 л.с.);2;Механика;Задний;Левый;https://www.avito.ru/aleksandrov/avtomobili/gaz_gazel_2747_2.8_mt_2011_1000km_2970790484;2023-08-02;2970790484;kNo6vsM
;True;;Владимирская область;Владимир;ВАЗ (LADA);Vesta Cross;2023;144030;3;True;Серый;1040000;1774;Бензин;122;4;7.7;Седан;1.8 MT (122 л.с.);4;Механика;Передний;Левый;https://www.avito.ru/vladimir/avtomobili/vaz_lada_vesta_cross_1.8_mt_2018_144030km_3312171173;2023-08-03;3312171173;X08rzTw
;True;;Владимирская область;Александровский р-н;УАЗ;Patriot;2023;57000;3;True;Чёрный;1750000;2693;Бензин;128;4.0;;Внедорожник;2.7 MT (128 л.с.);5;Механика;Полный;Левый;https://www.avito.ru/aleksandrov/avtomobili/uaz_patriot_2.7_mt_2013_57000km_3131226908;2023-07-31;3131226908;EXY3Puk
;True;;Владимирская область;Владимир;ВАЗ (LADA);2106;2023;60000;2;False;Синий;100000;1293;Бензин;69;4.0;8.4;Седан;1.3 MT (69 л.с.);4;Механика;Задний;Левый;https://www.avito.ru/vladimir/avtomobili/vaz_lada_2106_1.3_mt_1992_60000km_3247435831;2023-08-03;3247435831;0QAK8cx
;True;;Владимирская область;Владимир;ВАЗ (LADA);2109;2023;70000;4+;False;Красный;250000;1289;Бензин;64;4.0;6.2;Хетчбэк;1.3 MT (64 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/vladimir/avtomobili/vaz_lada_2109_1.3_mt_1991_70000km_3402478472;2023-08-01;3402478472;EXy5PHk
;True;;Владимирская область;Владимир;ВАЗ (LADA);XRAY Cross;2023;80000;1;True;Белый;1150000;1774;Бензин;122;4.0;7.5;Хетчбэк;1.8 MT (122 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/vladimir/avtomobili/vaz_lada_xray_cross_1.8_mt_2019_80000km_3347406106;2023-07-31;3347406106;aN9a9fd
;True;;Владимирская область;Владимир;ВАЗ (LADA);Granta;2023;170000;3;True;Чёрный;460000;1596;Бензин;98;4.0;7.6;Седан;1.6 AT (98 л.с.);4;Автомат;Передний;Левый;https://www.avito.ru/vladimir/avtomobili/vaz_lada_granta_1.6_at_2013_170000km_3200586005;2023-07-31;3200586005;ORed0tG
;False;;Владимирская область;Ковров;ВАЗ (LADA);2111;2023;149000;3;False;Бордовый;99999;1597;Бензин;89;4.0;7.5;Универсал;1.6 MT (89 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/kovrov/avtomobili/vaz_lada_2111_1.6_mt_2005_149000km_3227225058;2023-07-30;3227225058;R0VN4SE
;True;;Владимирская область;г.о. Владимир;ГАЗ;ГАЗель 3302;2023;167500;3;False;Синий;675000;2400;Бензин;140;4.0;;Фургон;2.4 MT (140 л.с.);2;Механика;Задний;Левый;https://www.avito.ru/vladimir/avtomobili/gaz_gazel_3302_2.4_mt_2010_167500km_3051530952;2023-07-27;3051530952;AP0N8Hy
;True;;Владимирская область;Юрьев-Польский р-н;ВАЗ (LADA);Priora;2023;177000;4+;False;Серебряный;290000;1596;Бензин;81;4.0;7.6;Хетчбэк;1.6 MT (81 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/yurev-polskiy/avtomobili/vaz_lada_priora_1.6_mt_2010_177000km_3135326971;2023-07-29;3135326971;aNyZlId
;True;;Владимирская область;Петушинский р-н;ВАЗ (LADA);Granta;2017;103000;1;False;Золотой;485000;1596;Бензин;87;4.0;6.6;Седан;1.6 MT (87 л.с.);4;Механика;Передний;Левый;https://www.avito.ru/volginskiy/avtomobili/vaz_lada_granta_1.6_mt_2017_103000km_3303091094;2023-08-14;3303091094;806WZuY
;True;;Владимирская область;Владимир;ГАЗ;ГАЗель 33023;2023;580000;3;False;Оранжевый;999999;2700;Бензин;107;4.0;;Фургон;2.7 MT (107 л.с.);2;Механика;Задний;Левый;https://www.avito.ru/vladimir/avtomobili/gaz_gazel_33023_2.7_mt_2010_580000km_2243108222;2023-07-23;2243108222;24Qd1TA
;True;;Владимирская область;Владимир;ВАЗ (LADA);4x4 (Нива);2023;81000;2;False;Зелёный;527000538000;1774;Бензин;83;4.0;9.9;Внедорожник;1.7 MT (83 л.с.);3;Механика;Полный;Левый;https://www.avito.ru/vladimir/avtomobili/vaz_lada_4x4_niva_1.7_mt_2018_81000km_2957351265;2023-07-24;2957351265;EdzddSk
;True;;Владимирская область;Вязниковский р-н;ВАЗ (LADA);Priora;2023;288000;4+;False;Серый;200999;1596;Бензин;98;4.0;7.2;Седан;1.6 MT (98 л.с.);4;Механика;Передний;Левый;https://www.avito.ru/vyazniki/avtomobili/vaz_lada_priora_1.6_mt_2008_288000km_3200643160;2023-07-17;3200643160;o2drKfx
;True;;Владимирская область;Меленки;ВАЗ (LADA);Priora;2023;285000;4+;False;Серый;223000;1596;Бензин;98;4.0;7.2;Седан;1.6 MT (98 л.с.);4;Механика;Передний;Левый;https://www.avito.ru/melenki/avtomobili/vaz_lada_priora_1.6_mt_2009_285000km_2261213378;2023-07-29;2261213378;o2drKfx
;False;;Владимирская область;Владимир;ВАЗ (LADA);Kalina;2023;170200;4+;False;Серебряный;265000;1596;Бензин;81;4.0;7.8;Универсал;1.6 MT (81 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/vladimir/avtomobili/vaz_lada_kalina_1.6_mt_2009_170200km_3268593345;2023-08-03;3268593345;x2pwoS2
;True;;Владимирская область;Петушинский р-н;ВАЗ (LADA);4x4 (Нива);2023;127000;4+;False;Чёрный;370000;1690;Бензин;80;4.0;1.0;Внедорожник;1.7 MT (80 л.с.);3;Механика;Полный;Левый;https://www.avito.ru/pokrov/avtomobili/vaz_lada_4x4_niva_1.7_mt_2011_127000km_3287814297;2023-07-25;3287814297;X0e3OTw
;True;;Владимирская область;Владимир;ВАЗ (LADA);2112;2023;176246;4+;False;Зелёный;109999;1499;Бензин;94;4;5.5;Хетчбэк;1.5 MT (94 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/vladimir/avtomobili/vaz_lada_2112_1.5_mt_2004_176246km_2400972454;2023-07-23;2400972454;Ad2BJty
;True;;Владимирская область;Кольчугинский р-н;ВАЗ (LADA);2106;2023;72400;3;False;Бордовый;100000;1294;Бензин;64;4;8.6;Седан;1.3 MT (64 л.с.);4;Механика;Задний;Левый;https://www.avito.ru/kolchugino/avtomobili/vaz_lada_2106_1.3_mt_1999_72400km_3082628601;2023-07-29;3082628601;JdZNMH9
;True;;Владимирская область;Владимир;Москвич;2141;2023;161000;4+;False;Синий;100000;1569;Бензин;76;4;7.9;Хетчбэк;1.6 MT (76 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/vladimir/avtomobili/moskvich_2141_1.6_mt_1990_161000km_3082054558;2023-07-24;3082054558;5yQRpTx
;False;;Ивановская область;Иваново;ВАЗ (LADA);Kalina;2014;113000;2;False;Чёрный;450000;1596;Бензин;87;4.0;6.6;Хетчбэк;1.6 MT (87 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/ivanovo/avtomobili/vaz_lada_kalina_1.6_mt_2014_113000km_3057538348;2023-08-14;3057538348;R4J34uE
;False;;Ивановская область;Иваново;ВАЗ (LADA);Kalina;2015;122000;3;False;Бордовый;455000;1596;Бензин;87;4.0;6.6;Универсал;1.6 MT (87 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/ivanovo/avtomobili/vaz_lada_kalina_1.6_mt_2015_122000km_3057609647;2023-08-14;3057609647;kRZWlfM
;False;;Ивановская область;Иваново;ВАЗ (LADA);2112;2004;200000;4+;False;Синий;99000;1499;Бензин;92;4.0;5.5;Хетчбэк;1.5 MT (92 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/ivanovo/avtomobili/vaz_lada_2112_1.5_mt_2004_200000km_3157163770;2023-08-14;3157163770;Bdl3WUE
;True;;Ивановская область;Иваново;ВАЗ (LADA);Kalina;2018;113000;3;True;Белый;660000;1596;Бензин;87;4.0;6.6;Универсал;1.6 MT (87 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/ivanovo/avtomobili/vaz_lada_kalina_1.6_mt_2018_113000km_3154879425;2023-08-13;3154879425;kRZWlfM
;True;;Ивановская область;Иваново;ВАЗ (LADA);2114 Samara;2023;220000;3;False;Серебряный;259000;1596;Бензин;90;4.0;7.6;Хетчбэк;1.6 MT (90 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/ivanovo/avtomobili/vaz_lada_2114_samara_1.6_mt_2011_220000km_3433689502;2023-08-11;3433689502;K8B6ZIk
;True;;Ивановская область;Иваново;ВАЗ (LADA);Granta;2019;120044;2;True;Коричневый;610000;1596;Бензин;87;4.0;6.8;Лифтбек;1.6 MT (87 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/ivanovo/avtomobili/vaz_lada_granta_1.6_mt_2019_120044km_3235194869;2023-08-13;3235194869;OGVPPcG
;False;;Ивановская область;Иваново;ВАЗ (LADA);2114 Samara;2011;210000;4+;False;Зелёный;165000;1596;Бензин;81;4.0;7.6;Хетчбэк;1.6 MT (81 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/ivanovo/avtomobili/vaz_lada_2114_samara_1.6_mt_2011_210000km_3189276394;2023-08-14;3189276394;Bd7AMUE
;True;;Ивановская область;Комсомольский р-н;ВАЗ (LADA);2107;2023;250000;2;False;Синий;55000;1568;Бензин;74;4.0;8.5;Седан;1.6 MT (74 л.с.);4;Механика;Задний;Левый;https://www.avito.ru/komsomolsk/avtomobili/vaz_lada_2107_1.6_mt_2007_250000km_3379534715;2023-08-12;3379534715;wP1ymTK
;False;;Ивановская область;Иваново;ВАЗ (LADA);Kalina;2023;123000;1;False;Чёрный;262000;1596;Бензин;84;4.0;7.8;Универсал;1.6 MT (84 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/ivanovo/avtomobili/vaz_lada_kalina_1.6_mt_2011_123000km_3202869674;2023-08-02;3202869674;QbJEVFn
;True;;Ивановская область;Иваново;ВАЗ (LADA);Vesta;2023;43000;1;True;Коричневый;1200000;1596;Бензин;106;4.0;7.5;Седан;1.6 MT (106 л.с.);4;Механика;Передний;Левый;https://www.avito.ru/ivanovo/avtomobili/vaz_lada_vesta_1.6_mt_2019_43000km_2528915867;2023-08-10;2528915867;R4wdjCE
;True;;Ивановская область;Заволжский р-н;ВАЗ (LADA);Largus;2023;58242;2;False;Белый;1050000;1598;Бензин;84;4.0;9.3;Универсал;1.6 MT (84 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/zavolzhsk/avtomobili/vaz_lada_largus_1.6_mt_2020_58242km_3231921381;2023-08-02;3231921381;jNKm0Ce
;True;;Ивановская область;Иваново;ВАЗ (LADA);2114 Samara;2006;300000;4+;False;Чёрный;57000;1499;Бензин;77;4.0;7.3;Хетчбэк;1.5 MT (77 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/ivanovo/avtomobili/vaz_lada_2114_samara_1.5_mt_2006_300000km_3354940634;2023-08-13;3354940634;zN8Oxuo
;True;;Ивановская область;Иваново;ГАЗ;ГАЗель 3302;2023;103000;3;False;Чёрный;605000;2445;Бензин;152;;;Фургон;2.4 MT (152 л.с.);2;Механика;Задний;Левый;https://www.avito.ru/ivanovo/avtomobili/gaz_gazel_3302_2.4_mt_2007_103000km_3333010745;2023-08-08;3333010745;dNjo4SZ
;True;;Ивановская область;24Н-027;ВАЗ (LADA);Priora;2023;129000;3;True;Серебряный;445000;1596;Бензин;98;4.0;7.2;Универсал;1.6 MT (98 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/ivanovskaya_oblast_kamenka/avtomobili/vaz_lada_priora_1.6_mt_2014_129000km_3145115524;2023-08-10;3145115524;Nd2yNCr
