brand;model;car_year;mileage;body_type;price;link
ВАЗ (LADA);2115 Samara;2008;219667;Седан;150000.0;https://www.avito.ru/letnyaya_stavka/avtomobili/vaz_lada_2115_samara_2008_2824233218
ВАЗ (LADA);Vesta;2020;3000;Седан;990000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_vesta_2020_2617378563
ВАЗ (LADA);Vesta;2016;170000;Седан;810000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_vesta_2016_2979544817
ВАЗ (LADA);Kalina;2015;155000;Универсал;520000.0;https://www.avito.ru/grazhdanskoe/avtomobili/vaz_lada_kalina_2015_2854975500
ВАЗ (LADA);Kalina;2015;112000;Хетчбэк;440000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_kalina_2015_3249835448
ВАЗ (LADA);4x4 (Нива);2017;45000;Внедорожник;650000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_4x4_niva_2017_3394493829
ВАЗ (LADA);Vesta;2017;93000;Седан;1300000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_vesta_2017_2973817436
ВАЗ (LADA);Priora;2011;145000;Хетчбэк;350000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_priora_2011_3394623001
ВАЗ (LADA);Priora;2012;167575;Седан;400000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_priora_2012_3057604846
ВАЗ (LADA);XRAY;2020;56200;Хетчбэк;997000.0;https://www.avito.ru/georgievsk/avtomobili/vaz_lada_xray_2020_3168332870
ВАЗ (LADA);4x4 (Нива);2019;40000;Внедорожник;850000.0;https://www.avito.ru/kislovodsk/avtomobili/vaz_lada_4x4_niva_2019_2597188117
ВАЗ (LADA);2107;2011;114000;Седан;320000.0;https://www.avito.ru/pyatigorsk/avtomobili/vaz_lada_2107_2011_3174674763
ВАЗ (LADA);Granta;2018;195000;Седан;650000.0;https://www.avito.ru/demino/avtomobili/vaz_lada_granta_2018_3120856406
ВАЗ (LADA);4x4 (Нива);2022;3977;Внедорожник;1260000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_4x4_niva_2022_3047614731
ВАЗ (LADA);Kalina;2011;72000;Хетчбэк;321000.0;https://www.avito.ru/goryachevodskiy/avtomobili/vaz_lada_kalina_2011_3216438201
ВАЗ (LADA);4x4 (Нива);2021;64000;Внедорожник;890000.0;https://www.avito.ru/verhnerusskoe/avtomobili/vaz_lada_4x4_niva_2021_3136633424
ВАЗ (LADA);2107;2008;35000;Седан;370000.0;https://www.avito.ru/essentuki/avtomobili/vaz_lada_2107_2008_3205016965
ВАЗ (LADA);Granta;2012;160000;Седан;350000.0;https://www.avito.ru/essentuki/avtomobili/vaz_lada_granta_2012_3162660345
ВАЗ (LADA);Kalina;2007;286000;Седан;265000.0;https://www.avito.ru/suvorovskaya/avtomobili/vaz_lada_kalina_2007_3033259579
ВАЗ (LADA);Priora;2011;160000;Седан;395000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_priora_2011_3046874886
ВАЗ (LADA);Granta;2021;40000;Седан;860000.0;https://www.avito.ru/essentuki/avtomobili/vaz_lada_granta_2021_3169417234
ГАЗ;Соболь 2752;2006;270000;Фургон;170000.0;https://www.avito.ru/blagodarnyy/avtomobili/gaz_sobol_2752_2006_1828251642
ВАЗ (LADA);2114 Samara;2009;200000;Хетчбэк;120000.0;https://www.avito.ru/pyatigorsk/avtomobili/vaz_lada_2114_samara_2009_2289885713
ВАЗ (LADA);Largus;2013;305000;Фургон;500000.0;https://www.avito.ru/georgievsk/avtomobili/vaz_lada_largus_2013_2999991287
ВАЗ (LADA);2112;2009;180000;Хетчбэк;250000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_2112_2009_3162423896
ВАЗ (LADA);2113 Samara;2006;211126;Хетчбэк;200000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_2113_samara_2006_2850882378
ВАЗ (LADA);2114 Samara;2006;198107;Хетчбэк;140000.0;https://www.avito.ru/kislovodsk/avtomobili/vaz_lada_2114_samara_2006_3181746293
ГАЗ;ГАЗель 3302;2005;250000;Фургон;399000.0;https://www.avito.ru/nezlobnaya/avtomobili/gaz_gazel_3302_2005_2992615979
ВАЗ (LADA);Granta;2020;72000;Седан;710000.0;https://www.avito.ru/stavropolskiy_kray_mihaylovsk/avtomobili/vaz_lada_granta_2020_2613758572
ВАЗ (LADA);Priora;2009;141000;Седан;260000.0;https://www.avito.ru/nevinnomyssk/avtomobili/vaz_lada_priora_2009_3229328441
ВАЗ (LADA);4x4 (Нива);2014;120000;Внедорожник;470000.0;https://www.avito.ru/essentuki/avtomobili/vaz_lada_4x4_niva_2014_3212633762
ВАЗ (LADA);Priora;2010;273000;Хетчбэк;385000.0;https://www.avito.ru/pyatigorsk/avtomobili/vaz_lada_priora_2010_3273962852
ВАЗ (LADA);2107;2005;120000;Седан;90000.0;https://www.avito.ru/stavropolskiy_kray_mihaylovsk/avtomobili/vaz_lada_2107_2005_2878166387
ВАЗ (LADA);Kalina;2010;176000;Седан;395000.0;https://www.avito.ru/nezlobnaya/avtomobili/vaz_lada_kalina_2010_3082990373
ВАЗ (LADA);21099;2002;113895;Седан;110000.0;https://www.avito.ru/stavropolskiy_kray_mihaylovsk/avtomobili/vaz_lada_21099_2002_2952494960
ВАЗ (LADA);4x4 (Нива);2001;211192;Внедорожник;400000.0;https://www.avito.ru/suvorovskaya/avtomobili/vaz_lada_4x4_niva_2001_2661775427
ВАЗ (LADA);Granta;2019;87000;Седан;679000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_granta_2019_3081217413
ВАЗ (LADA);Granta;2018;252000;Седан;525000.0;https://www.avito.ru/pyatigorskiy/avtomobili/vaz_lada_granta_2018_2658055987
ГАЗ;3102 Волга;1997;15000;Седан;210000.0;https://www.avito.ru/stavropol/avtomobili/gaz_3102_volga_1997_2877159315
ВАЗ (LADA);4x4 (Нива);2021;12000;Внедорожник;1150000.0;https://www.avito.ru/novoaleksandrovsk/avtomobili/vaz_lada_4x4_niva_2021_2555991724
ВАЗ (LADA);Kalina;2012;273000;Универсал;285000.0;https://www.avito.ru/letnyaya_stavka/avtomobili/vaz_lada_kalina_2012_2942881785
РАФ;2203;1983;210620;Микроавтобус;250000.0;https://www.avito.ru/stavropol/avtomobili/raf_2203_1983_2755778949
ВАЗ (LADA);2112;2004;254000;Хетчбэк;260000.0;https://www.avito.ru/pyatigorsk/avtomobili/vaz_lada_2112_2004_2903352499
ВАЗ (LADA);2115 Samara;2004;330000;Седан;170000.0;https://www.avito.ru/essentuki/avtomobili/vaz_lada_2115_samara_2004_3071561195
ВАЗ (LADA);2115 Samara;2009;220000;Седан;250573.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_2115_samara_2009_3194281885
ВАЗ (LADA);Vesta;2018;10000;Седан;1200000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_vesta_2018_3229470734
